;;;;;;;;
;;;;;;;;
AV-ресиверы;AV-ресивер Yamaha ARXA-860;Yamaha;ARXA-860;50;,7.2-канальный ресивер серии AVENTAGE,, обладающий потрясающей мощностью,;,7.2-канальный ресивер серии AVENTAGE,, обладающий потрясающей мощностью,, превосходными рабочими характеристиками и передовой антирезонансной технологией от Yamaha. Среди множества особенностей — поддержка форматов Dolby Atmos® и DTS:X™,, система MusicCast и интерфейс HDMI® с поддержкой 4K/60p,, 4:4:4,, HDCP2.2,, HDR и BT.2020 плюс вход для проигрывателя виниловых дисков. Имеет сквозное пропускание сигнала через интерфейс HDMI® (8 входов / 2 выхода) с полной поддержкой 4K Ultra HD с разрешением 4K/60p и субдискретизацикй 4:4:4,, HDCP2.2 (3 входа / 2 выхода),, HDR Video и BT.2020. Расположенные на передней панели HDMI-вход и цифровой USB-порт для карт флэш-памяти с интерфейсом USB. Поддержка Bluetooth® для беспроводного потокового воспроизведения музыки,, и технология Compressed Music Enhancer для Bluetooth. В ресивере также есть функция YPAO Volume для обеспечения естественного звучания даже при малой громкости и режим виртуальных задних акустических систем окружающего звучания для воспроизведения 7.1-канального контента 5.1-канальной аудиосистемой. Технология Extra Bass делает воспроизводимый бас более мощным и насыщенным даже при использовании небольших акустических систем.,;1180;1180
AV-ресиверы;AV-ресивер Yamaha ARXA1060;Yamaha;ARXA1060;50;7.2-канальном AV-ресивере серии AVENTAGE для получения звука исключительно высокого разрешения;,Новинка YAMAHA RX-A1060 способна воспринимать видео в 4K HDR с цветовой палитрой BT.2020,, а также 10/12-битной цветностью и цветовой субдискретизацией 4:4:4. Благодаря встроенным в модель DSP-процессорам новинка «из коробки» поддерживает многие форматы объемного звучания,, включая Dolby Atmos и DTS:X. В ресивере YAMAHA RX-A1060 использована симметричная схема расположения усилителей и ЦАПы от ESS Sabre. Он выдает уже 170 Вт на канал,, а система подстройки звука дополнена 7.1-канальным эквалазйером. Среди прочих отличий улучшенное HDMI-переключение между зонами и возможность настраивать звучание во второй зоне. Как и другие современные продукты от Yamaha,, ресивер этой серии является частью фирменной мультирумной системы MusicCast: есть встроенные Wi-Fi и Bluetooth. В целом ресивер способен проигрывать музыку в высоком качестве,, среди читаемых форматов ALAC 24 бит/96 кГц,, WAV,, AIFF,, FLAC до 24 бит/192 кГц,, DSD 5.6 МГц. Ресивер имеет встроенный фоновход с предусилителем для любителей винила. Через MusicCast то,, что проигрывает вертушка,, можно будет передать на другие продукты,, объединенные в мультирумную сеть. Звук оптимизирует система YPAO,, которая распознает положение колонок в комнате и корректирует звучание в соответствии с обстановкой.,;1676;1676
AV-ресиверы;AV-ресивер Yamaha ARXA-2060;Yamaha;ARXA-2060;50;Высокого класса 9.2-канальный AV-ресивер серии AVENTAGE с высокоэффективными ЦАПами ESS DACs и поддержкой Dolby Atmos® и DTS-X™;,Оснащенный аудиосхемами высокого класса 9.2-канальный AV-ресивер серии AVENTAGE с высокоэффективными ЦАПами ESS DACs и поддержкой Dolby Atmos® и DTS-X™. Имеет новейшую версию интерфейса HDMI с поддержкой HDR и BT.2020,, симметричную компоновку усилителя мощности,, систему трехмерных измерений и калибровки YPAO™ и функции воспроизведения аудиоконтента в зонах 2 и 3. Встроенная функция Wi-Fi и поддержка функции Wireless Direct для упрощения сетевого доступа. Поддержка Bluetooth® для беспроводного потокового воспроизведения музыки и технология Compressed Music Enhancer для Bluetooth.,;2206;2206
AV-ресиверы;AV-ресивер Yamaha ARXA-3060;Yamaha;ARXA-3060;50;,AV-ресивер серии AVENTAGE с поддержкой форматов воспроизведения Dolby Atmos® и DTS-X™,, технологией CINEMA DSP HD3,;,Первоклассный AV-ресивер серии AVENTAGE с поддержкой форматов воспроизведения Dolby Atmos® и DTS-X™,, технологией CINEMA DSP HD3 и множеством выдающихся особенностей,, включая возможность расширения до 11.2 каналов для получения не имеющего себе равных объемного звука при прослушивании и просмотре,, высокоточную 64-битовую систему калибровки YPAO™,, исключительно качественный ЦАП ESS и обработку аудиосигналов в зонах 2 и 3. AV-ресиверы AVENTAGE: аппараты,, призванные обеспечивать высочайшие уровни аудиохарактеристик . Алюминиевая передняя панель обеспечивает визуальные и акустические преимущества. Антирезонансная технология Anti Resonance Technology (A.R.T.) Wedge способствует подавлению вибраций. ЦАП ESS для получения цифрового звука профессионального качества.,;2647;2647
AV-ресиверы;AV-ресивер Yamaha RX-A710D;Yamaha;RX-A710D;50;;;1000;1000
Усилители мощности;Усилитель мощности Yamaha MX-A5000 ;Yamaha;MX-A5000 ;50;,Усилитель мощности MX-A5000 с 11 раздельно структурированными
каналами,;,Абсолютное качество,, высокая мощность 11-канальный усилитель предлагает самую высокую мощность среди аппаратов серии AVENTAGE. Невероятно чистое и прозрачное звучание на любой громкости. Шасси с высокой степенью жесткости,, высококачественные комплектующие и надежные симметричные соединения,, гибкая конструкция для многовариантных конфигураций системы.,;4154;4154
Усилители мощности;Предварительный усилитель Yamaha CX-A5100;Yamaha;CX-A5100;50;AV-предусилитель мощности Yamaha серии CX-A5100;,Несмотря на функциональную схожесть,, аудио/видео предусилитель-процессор — это не то же самое,, что и ресивер домашнего кинотеатра. Yamaha CX-A5100 предлагает взаимодействие с источниками,, переключение источников,, цифровую обработку звука и изображения. С другой стороны,, этот компонент не укомплектован встроенными усилителями и терминалами колонок,, то есть,, для работы ему требуется внешний многоканальный усилитель или индивидуальные усилители для каждого канала. (Yamaha рекомендует 11-канальный MX-A5000.)
Звук
В плане аудио Yamaha CX-A5100 предлагает RCA или XLR выходы предусиления для подключения усилителей,, в том числе в 11.2-канальной конфигурации (11 каналов,, плюс 2 сабвуфера). CX-A5100 распознает и обрабатывает большинство аудио-форматов Dolby и DTS: Dolby Atmos (включая конфигурацию 7.1.4),, Dolby TrueHD,, DTS:X (после обновления прошивки) и DTS-HD Master Audio.
Система аппаратной обработки звука,, вместе с микрочипами,, необходимыми для Dolby/DTS и дополнительных режимов,, включает цифро-аналоговые преобразователи ES9016S SABRE32 Ultra и ES9006A SABRE Premier Audio.
Видео
Для видео CX-A5100 предлагает конвертацию аналогового сигнала в HDMI,, апскейлинг 1080p и 4K,, сквозной сигнал 3D и 4K с поддержкой HDR и протокола HDCP 2.2 (защита от копирования потокового и дискового Ultra HD контента).
Взаимодействие
